Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname,Estado_Origem_Viagem,Estado_Destino_Viagem,Estado_Deduzido
1752235392,2025-07-11 09:03:12,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752235392,2025-07-11 09:03:12,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752235392,2025-07-11 09:03:12,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752236207,2025-07-11 09:16:47,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752236207,2025-07-11 09:16:47,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752236207,2025-07-11 09:16:47,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752236207,2025-07-11 09:16:47,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752236207,2025-07-11 09:16:47,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752236207,2025-07-11 09:16:47,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752236461,2025-07-11 09:21:01,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752236461,2025-07-11 09:21:01,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752236461,2025-07-11 09:21:01,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752236461,2025-07-11 09:21:01,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752236461,2025-07-11 09:21:01,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752236461,2025-07-11 09:21:01,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752237057,2025-07-11 09:30:57,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752237057,2025-07-11 09:30:57,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752237057,2025-07-11 09:30:57,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752237057,2025-07-11 09:30:57,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752237057,2025-07-11 09:30:57,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752237057,2025-07-11 09:30:57,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752237657,2025-07-11 09:40:57,1,200.129.75.254,gateway,No-IP,No-Hostname,PB,PE,PB
1752237657,2025-07-11 09:40:57,2,No-IP,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,SP
1752237657,2025-07-11 09:40:57,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752237657,2025-07-11 09:40:57,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752237657,2025-07-11 09:40:57,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752237657,2025-07-11 09:40:57,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752238359,2025-07-11 09:52:39,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752238359,2025-07-11 09:52:39,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752238359,2025-07-11 09:52:39,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752238359,2025-07-11 09:52:39,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752238359,2025-07-11 09:52:39,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752238359,2025-07-11 09:52:39,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752239207,2025-07-11 10:06:47,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752239207,2025-07-11 10:06:47,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752239207,2025-07-11 10:06:47,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752239207,2025-07-11 10:06:47,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752239207,2025-07-11 10:06:47,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752239207,2025-07-11 10:06:47,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752239427,2025-07-11 10:10:27,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752239427,2025-07-11 10:10:27,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752239427,2025-07-11 10:10:27,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752239427,2025-07-11 10:10:27,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752239427,2025-07-11 10:10:27,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752239427,2025-07-11 10:10:27,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752240124,2025-07-11 10:22:04,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752240124,2025-07-11 10:22:04,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752240124,2025-07-11 10:22:04,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752240124,2025-07-11 10:22:04,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752240124,2025-07-11 10:22:04,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752240124,2025-07-11 10:22:04,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752240853,2025-07-11 10:34:13,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752240853,2025-07-11 10:34:13,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752240853,2025-07-11 10:34:13,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752240853,2025-07-11 10:34:13,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752240853,2025-07-11 10:34:13,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752240853,2025-07-11 10:34:13,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752241919,2025-07-11 10:51:59,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752241919,2025-07-11 10:51:59,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752241919,2025-07-11 10:51:59,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
