Timestamp,Datetime,HopHostnames
1751392894,2025-07-01 15:01:34,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751393610,2025-07-01 15:13:30,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cto1-cdf2-tlb.bkb.rnp.br;cpa1-cto1-tlb.bkb.rnp.br;No-Hostname;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751394085,2025-07-01 15:21:25,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751394580,2025-07-01 15:29:40,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751395273,2025-07-01 15:41:13,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cto1-cdf2-tlb.bkb.rnp.br;cpa1-cto1-tlb.bkb.rnp.br;No-Hostname;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751396072,2025-07-01 15:54:32,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751396538,2025-07-01 16:02:18,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751396962,2025-07-01 16:09:22,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751397657,2025-07-01 16:20:57,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751398322,2025-07-01 16:32:02,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
